                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.7191,                 1.5216,                 2.5372,                0.05553,                0.61765,                0.05258,                0.03614,                 1.3382,                 5.4091,                 2.2233,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.7003,                 1.6371,                 2.5248,                0.03566,                0.85294,                0.03554,                 0.0153,                 1.9163,                 49.052,                 2.4596,                0.00101,                0.00101,                0.00101
                     53,                 2.0039,                 1.7068,                  2.762,                0.03566,                0.85294,                0.03554,                 0.0153,                 1.9163,                 49.052,                 2.4596,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.7611,                 2.0103,                 2.6382,                0.06528,                0.82353,                0.06415,                0.02044,                 2.0223,                 26.496,                 2.6679,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.7884,                 1.6844,                 2.4312,                0.95474,                0.76471,                0.88042,                0.50916,                  1.542,                  2.804,                 2.1852,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.8847,                 1.6542,                 2.7077,                0.99011,                0.82353,                0.92582,                0.64316,                 1.3558,                 2.2259,                 2.0719,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.8405,                 1.5665,                 2.4206,                0.99011,                0.82353,                0.92582,                0.64316,                 1.3558,                 2.2259,                 2.0719,               0.000911,               0.000911,               0.000911
                     58,                 1.6355,                 1.6885,                 2.4087,                 0.9488,                0.54542,                0.89892,                0.57535,                 1.4213,                 2.3822,                 2.1407,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.6549,                 1.5376,                  2.402,                0.34067,                0.11765,                0.34674,                0.22738,                  1.327,                 2.6678,                 2.1423,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.8277,                 1.6708,                 2.6593,                0.46791,                0.43973,                0.47121,                0.32356,                 1.1737,                 2.3718,                 2.0542,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.6597,                 1.4882,                 2.4417,                0.46791,                0.43973,                0.47121,                0.32356,                 1.1737,                 2.3718,                 2.0542,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.9537,                 1.5673,                 2.5358,                 0.9232,                0.70716,                0.88875,                0.64772,                 1.0389,                 1.7762,                 1.9538,               0.000812,               0.000812,               0.000812
                     63,                 1.7481,                 1.4519,                 2.5157,                0.93739,                0.88073,                0.94613,                0.68992,                 1.0926,                 1.4334,                 1.9238,              0.0007922,              0.0007922,              0.0007922
                     64,                 2.0687,                 1.7726,                  2.534,                0.86513,                0.94337,                0.96656,                0.68242,                 1.0386,                 1.3164,                 1.8805,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.7306,                 1.5433,                 2.4261,                0.86513,                0.94337,                0.96656,                0.68242,                 1.0386,                 1.3164,                 1.8805,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.7813,                 1.4301,                 2.4659,                0.94613,                0.97059,                0.99124,                0.70723,                 1.0409,                 1.2822,                 1.8763,              0.0007328,              0.0007328,              0.0007328
                     67,                  1.795,                 1.5404,                 2.5275,                      1,                0.96245,                0.99338,                0.66631,                 1.1005,                 1.3603,                 1.9212,               0.000713,               0.000713,               0.000713
                     68,                 1.7272,                 1.4161,                 2.4326,                 0.9842,                0.94118,                0.99031,                0.61817,                 1.3662,                 1.2983,                 2.0278,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.4566,                 1.3662,                 2.2276,                 0.9842,                0.94118,                0.99031,                0.61817,                 1.3662,                 1.2983,                 2.0278,              0.0006734,              0.0006734,              0.0006734
                     70,                  1.568,                 1.3047,                 2.3688,                0.98833,                0.94118,                0.98687,                0.55572,                 1.5882,                 1.3587,                 2.1265,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.6857,                 1.4847,                 2.3483,                      1,                0.96504,                0.99159,                0.61728,                 1.3584,                  1.385,                 2.0215,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.9309,                 1.7434,                  2.631,                0.99968,                      1,                  0.995,                0.69853,                 1.0159,                 1.1887,                 1.8547,               0.000614,               0.000614,               0.000614
                     73,                 1.5182,                  1.354,                 2.1968,                0.99968,                      1,                  0.995,                0.69853,                 1.0159,                 1.1887,                 1.8547,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.6774,                 1.3538,                 2.3203,                0.99671,                      1,                  0.995,                0.73119,                0.98074,                  1.214,                 1.8193,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.6401,                 1.3399,                 2.3548,                0.99764,                      1,                  0.995,                0.74623,                0.90723,                 1.1933,                 1.7886,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.7756,                 1.3691,                 2.2703,                0.99519,                      1,                  0.995,                 0.7141,                 1.0414,                 1.1843,                 1.8263,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.9028,                 1.3946,                 2.7218,                0.99519,                      1,                  0.995,                 0.7141,                 1.0414,                 1.1843,                 1.8263,               0.000515,               0.000515,               0.000515
                     78,                 1.7488,                 1.3588,                 2.5381,                0.99446,                      1,                  0.995,                0.67089,                 1.2596,                 1.2428,                 1.9252,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.6518,                 1.3037,                 2.3915,                0.98753,                      1,                  0.995,                0.65896,                 1.2556,                 1.4831,                 1.9586,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.6321,                 1.3004,                 2.3213,                      1,                0.99893,                  0.995,                 0.7557,                0.95864,                 1.6699,                 1.9059,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.5732,                 1.5526,                 2.2552,                      1,                0.99893,                  0.995,                 0.7557,                0.95864,                 1.6699,                 1.9059,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.4605,                 1.2856,                 2.2504,                      1,                0.99225,                  0.995,                0.79123,                0.85829,                 1.8071,                 1.9126,               0.000416,               0.000416,               0.000416
                     83,                 1.4242,                 1.4637,                 2.2806,                0.98395,                      1,                  0.995,                0.76111,                0.96911,                 1.6796,                 1.9295,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.4819,                 1.2482,                  2.173,                0.99935,                      1,                  0.995,                0.78284,                0.87488,                 1.3328,                 1.8829,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.7455,                 1.6188,                 2.5982,                0.99935,                      1,                  0.995,                0.78284,                0.87488,                 1.3328,                 1.8829,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.3815,                 1.2125,                 2.2809,                      1,                0.99408,                  0.995,                0.76144,                0.94745,                 1.0535,                 1.8626,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.3861,                 1.1353,                 2.1328,                      1,                0.99476,                  0.995,                0.65366,                 1.2006,                 1.1459,                 1.9357,               0.000317,               0.000317,               0.000317
                     88,                 1.5021,                 1.1885,                 2.2314,                0.99904,                      1,                  0.995,                0.60879,                 1.3379,                 1.1617,                 1.9753,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.5299,                 1.3304,                 2.3396,                0.99904,                      1,                  0.995,                0.60879,                 1.3379,                 1.1617,                 1.9753,              0.0002774,              0.0002774,              0.0002774
