                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.44695,                0.33238,                0.94534,                0.99669,                      1,                  0.995,                0.95899,                0.30439,                0.40119,                0.84872,               0.005248,               0.005248,               0.005248
                     50,                0.42025,                0.31505,                0.92447,                0.99735,                      1,                  0.995,                0.95626,                0.31359,                0.37578,                0.86105,               0.005149,               0.005149,               0.005149
                     51,                 0.4221,                0.31531,                0.93867,                0.99722,                      1,                  0.995,                0.95351,                0.31378,                0.26247,                0.86558,                0.00505,                0.00505,                0.00505
                     52,                0.41027,                0.32253,                   0.93,                0.99749,                      1,                  0.995,                0.94863,                0.31501,                0.23277,                0.88276,               0.004951,               0.004951,               0.004951
                     53,                0.37998,                0.30313,                0.91286,                0.99759,                      1,                  0.995,                0.94191,                0.32932,                0.25968,                0.87241,               0.004852,               0.004852,               0.004852
                     54,                0.40601,                0.31816,                0.91098,                 0.9971,                      1,                  0.995,                0.95555,                0.33946,                0.26215,                0.86704,               0.004753,               0.004753,               0.004753
                     55,                0.39201,                0.30396,                0.92673,                0.99698,                      1,                  0.995,                0.96197,                 0.3245,                0.25212,                0.88551,               0.004654,               0.004654,               0.004654
                     56,                0.40325,                0.31836,                0.94285,                0.99642,                      1,                  0.995,                 0.9657,                  0.323,                 0.2617,                0.88291,               0.004555,               0.004555,               0.004555
                     57,                0.39758,                0.30246,                0.92246,                0.99219,                      1,                  0.995,                 0.9343,                0.34083,                 0.2604,                0.86727,               0.004456,               0.004456,               0.004456
                     58,                0.37228,                 0.3164,                 0.9054,                0.99357,                      1,                  0.995,                0.96414,                0.30034,                0.24251,                0.88884,               0.004357,               0.004357,               0.004357
                     59,                0.39746,                0.31288,                0.93031,                0.99669,                      1,                  0.995,                0.94575,                0.33967,                0.25457,                0.91822,               0.004258,               0.004258,               0.004258
                     60,                0.39368,                 0.3035,                0.92266,                0.99652,                      1,                  0.995,                0.95556,                 0.3053,                0.25446,                 0.9165,               0.004159,               0.004159,               0.004159
                     61,                0.38551,                0.31289,                0.90798,                0.97391,                      1,                  0.995,                0.97333,                0.30188,                0.26105,                0.89751,                0.00406,                0.00406,                0.00406
                     62,                0.36447,                0.28803,                0.90345,                0.99688,                      1,                  0.995,                 0.9651,                0.32115,                0.26659,                0.87776,               0.003961,               0.003961,               0.003961
                     63,                0.39288,                0.29523,                 0.9191,                0.99719,                      1,                  0.995,                0.95023,                0.32233,                0.23367,                0.86564,               0.003862,               0.003862,               0.003862
                     64,                0.36145,                0.28448,                0.90905,                0.99739,                      1,                  0.995,                0.95539,                0.31781,                0.22445,                0.84191,               0.003763,               0.003763,               0.003763
                     65,                0.36898,                0.28466,                0.89825,                0.99733,                      1,                  0.995,                 0.9545,                 0.3369,                0.24754,                0.84232,               0.003664,               0.003664,               0.003664
                     66,                 0.3608,                0.27903,                 0.9094,                0.99738,                      1,                  0.995,                0.96501,                0.31806,                0.23558,                0.83249,               0.003565,               0.003565,               0.003565
                     67,                 0.3609,                0.28594,                0.90636,                0.99708,                      1,                  0.995,                0.95542,                0.30461,                0.23283,                0.82588,               0.003466,               0.003466,               0.003466
                     68,                0.36454,                0.27638,                0.90093,                0.99675,                      1,                  0.995,                0.94874,                0.30053,                0.22569,                0.82093,               0.003367,               0.003367,               0.003367
                     69,                0.36422,                0.28034,                0.91609,                0.99729,                      1,                  0.995,                0.95258,                0.29703,                0.22846,                0.84323,               0.003268,               0.003268,               0.003268
                     70,                0.35369,                0.27315,                0.91781,                0.99488,                      1,                  0.995,                0.95918,                0.30034,                0.22494,                0.86569,               0.003169,               0.003169,               0.003169
                     71,                0.35323,                0.27406,                0.90183,                0.99743,                      1,                  0.995,                0.97702,                0.28737,                0.21124,                0.88491,                0.00307,                0.00307,                0.00307
                     72,                0.35416,                0.27774,                0.89229,                0.99743,                      1,                  0.995,                0.97357,                0.29298,                0.20508,                0.87646,               0.002971,               0.002971,               0.002971
                     73,                0.34291,                0.26475,                0.89342,                0.99754,                      1,                  0.995,                0.98026,                0.29267,                0.20488,                0.83509,               0.002872,               0.002872,               0.002872
                     74,                0.33569,                0.25109,                0.90112,                0.99754,                      1,                  0.995,                0.95807,                0.29506,                0.21446,                0.83043,               0.002773,               0.002773,               0.002773
                     75,                  0.359,                0.27304,                0.91578,                0.99759,                      1,                  0.995,                0.97703,                0.28829,                0.20911,                0.82473,               0.002674,               0.002674,               0.002674
                     76,                0.32476,                 0.2499,                0.89621,                0.99761,                      1,                  0.995,                0.96672,                0.28038,                0.19647,                0.82249,               0.002575,               0.002575,               0.002575
                     77,                 0.3282,                0.26269,                0.90106,                0.99758,                      1,                  0.995,                0.96783,                0.29389,                 0.1822,                0.82824,               0.002476,               0.002476,               0.002476
                     78,                0.31937,                0.25079,                0.89201,                 0.9976,                      1,                  0.995,                 0.9646,                0.29821,                0.19314,                0.83024,               0.002377,               0.002377,               0.002377
                     79,                0.30182,                0.24441,                0.86877,                0.99763,                      1,                  0.995,                0.96549,                0.29828,                0.19922,                0.83833,               0.002278,               0.002278,               0.002278
                     80,                0.31745,                0.24318,                 0.8907,                 0.9976,                      1,                  0.995,                 0.9775,                0.28936,                0.19633,                0.83367,               0.002179,               0.002179,               0.002179
                     81,                0.32266,                0.24041,                0.88998,                0.99759,                      1,                  0.995,                0.98571,                0.28905,                0.20134,                0.84454,                0.00208,                0.00208,                0.00208
                     82,                0.30871,                0.23337,                0.87312,                0.99757,                      1,                  0.995,                0.97929,                0.27887,                0.20984,                0.83321,               0.001981,               0.001981,               0.001981
                     83,                0.32201,                0.24045,                 0.9048,                 0.9975,                      1,                  0.995,                0.97579,                0.26961,                0.18843,                0.83497,               0.001882,               0.001882,               0.001882
                     84,                0.28596,                0.22909,                0.87917,                0.99748,                      1,                  0.995,                0.96745,                0.29771,                0.18805,                0.84757,               0.001783,               0.001783,               0.001783
                     85,                0.31325,                0.23464,                0.89611,                0.99759,                      1,                  0.995,                0.97045,                0.30387,                0.18316,                0.87082,               0.001684,               0.001684,               0.001684
                     86,                0.30039,                0.22857,                0.89448,                0.99763,                      1,                  0.995,                0.98292,                0.29464,                0.19021,                0.87406,               0.001585,               0.001585,               0.001585
                     87,                0.27653,                0.21446,                0.86847,                0.99762,                      1,                  0.995,                 0.9767,                0.29842,                0.18006,                 0.8715,               0.001486,               0.001486,               0.001486
                     88,                0.28072,                0.21022,                0.86658,                 0.9976,                      1,                  0.995,                0.96927,                0.29101,                0.16469,                0.88542,               0.001387,               0.001387,               0.001387
                     89,                 0.3044,                0.21621,                0.87635,                0.99764,                      1,                  0.995,                0.96641,                0.28927,                0.15775,                0.88784,               0.001288,               0.001288,               0.001288
                     90,                0.22881,                0.17781,                0.82849,                0.99764,                      1,                  0.995,                0.96477,                0.28756,                 0.1653,                0.88379,               0.001189,               0.001189,               0.001189
                     91,                0.21618,                0.17041,                0.80892,                0.99764,                      1,                  0.995,                0.96364,                0.28386,                 0.1634,                0.88939,                0.00109,                0.00109,                0.00109
                     92,                0.22166,                0.17038,                0.82224,                0.99762,                      1,                  0.995,                0.97731,                0.28227,                0.17111,                 0.8899,               0.000991,               0.000991,               0.000991
                     93,                0.21791,                0.16894,                0.81802,                0.99756,                      1,                  0.995,                0.97129,                0.29224,                0.17985,                0.88181,               0.000892,               0.000892,               0.000892
                     94,                0.22034,                0.17263,                0.83079,                0.99744,                      1,                  0.995,                0.96886,                0.29563,                0.18354,                0.89263,               0.000793,               0.000793,               0.000793
                     95,                0.21423,                0.17141,                0.79762,                0.99744,                      1,                  0.995,                0.96994,                0.27817,                0.18144,                0.89507,               0.000694,               0.000694,               0.000694
                     96,                0.21164,                 0.1676,                0.82187,                0.99734,                      1,                  0.995,                 0.9767,                0.26899,                0.17586,                 0.8913,               0.000595,               0.000595,               0.000595
                     97,                0.20671,                0.15612,                0.81519,                0.99715,                      1,                  0.995,                0.97026,                0.27503,                0.18329,                0.89383,               0.000496,               0.000496,               0.000496
                     98,                0.19893,                0.15528,                0.79861,                0.99704,                      1,                  0.995,                0.97832,                0.27239,                0.17259,                0.89198,               0.000397,               0.000397,               0.000397
                     99,                0.20798,                0.15997,                0.82295,                0.99717,                      1,                  0.995,                0.97923,                0.27463,                0.17469,                0.88749,               0.000298,               0.000298,               0.000298
